"timestamp","title","price","market","surface","location","remote_support","lighting","advertiser_type","description","no_of_rooms","form_of_property","url","is_for_sale","posting_id"
"2023-09-04","mieszkanie 40,93m2 2-pokoje Apartamenty SOHO","225100","market,primary","40.93","ul. Mikołaja Kopernika, Koźmin Wielkopolski, Koźmin Wielkopolski, krotoszyński, wielkopolskie","null","null","developer","
IV ETAP INWESTYCJI ""APARTAMENTY SOHO""Zapraszamy Państwa do zapoznania się z ofertą naszej kolejnej inwestycji w Koźminie Wielkopolskim.Na ul. Kopernika rozpoczynamy realizację czwartego z pięciu kameralnych budynków mieszkalnych tworzących razem Osiedle APARTAMENTY SOHO. Nowoczesna i atrakcyjna architektura oraz starannie zaprojektowane mieszkania tworzą funkcjonalną i komfortową przestrzeń. Duże okna zapewniają naturalne oświetlenie pomieszczeń . Oferowany standard wykończenia znacznie przewyższa podobne propozycje rynkowe, a zastosowane materiały cechują inwestycje wysoką jakością.Dla wygody mieszkańców zostanie zainstalowana cichobieżna winda oraz dostępne będą komórki lokatorskie, a całe osiedle będzie monitorowane.
Budynek będzie zarządzany przez wspólnotę mieszkaniową-niski miesięczny koszt utrzymania.-ogrzewanie gazowe.
Zapewniamy pełną obsługę prawną jak i pomoc w uzyskaniu kredytu hipotecznego na zakup bądź remont nieruchomości.
Zgodnie z wymogami ustawy o ochronie praw nabywcy lokalu mieszkalnego zapewniamy:-umowę deweloperską z prospektem informacyjnym-rachunek powierniczyPlanowany termin realizacji inwestycji to IV kwartał 2023

O nasLOKALNY DEWELOPER ,GLOBALNE ZASADYOd 2015 roku działamy na lokalnym rynku nieruchomości. To właśnie tu kreujemy budynki odzwierciedlające marzenia i oczekiwania swoich klientów. Dzięki skrupulatnej i rzetelnej pracy każdego z członków zespołu, powstają mieszkania o unikalnym designie, które odznaczają się funkcjonalnością i komfortem użytkowania. WYPRRACOWANE STANDARDYUtrzymujemy partnerskie relacje z naszymi pracownikami oraz podwykonawcami, dlatego od wielu lat współpracujemy wyłącznie z zaufanymi specjalistami. To właśnie dzięki tym osobom, ich starannej pracy oraz doświadczeniu budowlanemu oddajemy inwestycję w zaplanowanym terminie, pozwalając przyszłym mieszkańcom na terminową realizację prac wykończeniowych, dokładnie tak, jak sami byśmy tego oczekiwali.LOKALIZACJE TĘTNIĄCE ŻYCIEMWszystkie nasze planowane i zrealizowane inwestycje znajdują się blisko centrum miasta, gdzie doskonale skomunikowana inwestycja otoczona jest terenami zielonymi, placami zabaw, sklepami czy miejscami tętniącymi wielkomiejskim życiem towarzyskim. Możesz być pewien, że zawsze będziesz w centrum wydarzeń, a to co jest dla Ciebie najważniejsze znajdziesz na osiedlu lub tuż za rogiem. Funkcjonalność, układ naszych mieszkań i ich lokalizacja spełnią potrzeby zarówno rodzin z dziećmi jak i wymagających singli. Zakup mieszkania w Soho Investments to również doskonała okazja na inwestycję i pomnażanie swojego kapitału.PEWNA INWESTYCJAZakup mieszkań na naszych osiedlach to bezpieczna i pewna inwestycja, która stale będzie zyskiwać na swojej wartości. Wybierając rzetelnego i dbającego o potrzeby mieszkańców dewelopera otrzymasz gwarancję nie tylko doskonałej inwestycji, ale również możliwość spełnienia marzeń o ciepłym, rodzinnym i bezpiecznym domu. Skontaktuj się z naszym doradcą i wybierz najbardziej dogodne dla Ciebie mieszkanie.Biuro sprzedaży:Ul.Wrocławska 51/163-200 Jarocin","2","pełna własność","https://otodom.pl/pl/oferta/mieszkanie-41-47m2-2-pokoje-apartamenty-soho-ID4hLXi","true","4hLXi"
"2023-09-04","Apartament 200m2","599000","market,primary","200","ul. Kazimierza Pułaskiego, Radzymin, Radzymin, wołomiński, mazowieckie","null","null","private","SPRZEDAŻ BEZPOŚREDNIO 
Kameralne osiedle bezczynszowych lokali położonych w Radzyminie przy ul. Kazimierza Pułaskiego. Przy osiedlu znajduje się przystanek autobusowy co pozwala na szybką komunikację z centrum.
Nowoczesna architektura oraz wysoka jakość użytych materiałów to główne zalety tej inwestycji.
-  salon z aneksem kuchennym (33,37 m2) 
-  trzy pokoje (10,83 m2, 12,25 m2, 13,90m2)
-  łazienka (4,75 m2),
- wc (2,43m2)
-  wiatrołap (*4,15 m2)
- hol (12,94m2) 
Lokal na piętrze (100 m2 +100m2 poddasza)

W cenie nieruchomości DWA miejsca parkingowe.+ ogródek 
Lokal w stanie deweloperskim z ogrzewaniem podłogowym, rozprowadzona instalacja wod-kan, c.o. , elektryczna, gazowa, TV-sat, internet, domofon, okablowanie pod alarm.
Wszystkie media miejskie (kanalizacja, gaz, woda, prąd ).
","5","pełna własność","https://otodom.pl/pl/oferta/apartament-200m2-ID4hFmX","true","4hFmX"
"2023-09-04","Apartament 50m od plaży w Juracie! 1 linia !","3244000","market,secondary","70.53","Mestwina, Jurata, Jastarnia, pucki, pomorskie","null","null","agency","Jeśli marzą Państwo o luksusowym apartamencie, w którym codziennie będziecie mogli podziwiać zachód słońca i słuchać szumu morza, to Jurata jest miejscem, które spełni Państwa marzenia!!!OPIS INWESTYCJI:Ta wyjątkowa inwestycja położona jest w słynnym, prestiżowym kurorcie Jurata na Półwyspie Helskim, 50m od brzegu Zatoki Puckiej, w pobliżu wydm, plaży, charakterystycznego molo i promenady. Nieruchomość oferuje mieszkańcom i ich gościom niesamowity widok na morze oraz świeże powietrze pełne jodu.Budynek ma cztery kondygnacje i zaprojektowany został w nowoczesnym, modernistycznym stylu, wyposażony w cichobieżne windy oraz podziemną halę garażową. W budynku znajduje się 29 wyjątkowych apartamentów wykończonych pod klucz, o różnych powierzchniach, począwszy od 47,37 m² do 105,15 m². Dzięki panoramicznym oknom, z każdego apartamentu można podziwiać piękny widok na morze i cieszyć się naturalnym światłem wpadającym do wnętrza.Wszystkie apartamenty posiadają przestronne tarasy z widokiem na morze i są wykończone z wysokiej jakości materiałów. Każdy apartament ma również swoje miejsce postojowe, a wybrane lokale posiadają także komórki lokatorskie. To wyjątkowa inwestycja na mapie nadmorskich nieruchomości, która zachwyci każdego, kto szuka wyjątkowego i luksusowego miejsca do życia lub wypoczynku.OPIS LOKALU:Niniejsza oferta dotyczy 3-pokojowego apartamentu o pow. 70,53m2, położonego na parterze. Składa się z przestronnego salonu połączonego z aneksem kuchennym (25,70m2), sypialni głównej z łóżkiem małżeńskim (11,85m2), sypialni gościnnej z dwoma osobnymi łóżkami (11,69m2), łazienki z wanną (4,84m2), łazienki z prysznicem (3,48m2), garderoby (3,06m2), hallu (10,01m2) oraz obszernego tarasu (27,05m2), z którego rozpościera się kojący widok na wydmy i morze. Przestrzeń salonu podzielono na strefę wypoczynkową z wygodną kanapą z funkcją spania i fotelami, aneks kuchenny, jadalnię z okrągłym stołem oraz wyjściem na taras. W apartamencie znajduje się także garderoba, która zapewnia odpowiednią ilość przestrzeni do przechowywania odzieży i niezbędnych akcesoriów. Apartament został wykończony z użyciem wysokiej jakości materiałów: podłogi drewniane, aneks kuchenny wyposażony w niezbędne sprzęty AGD (zmywarka, czajnik elektr. lodówka, ekspres do kawy, płyta indukcyjna), kamienne blaty, system klimatyzacji. Zaprojektowany został tak, aby sprostać najbardziej wymagającym mieszkańcom.Nieocenionym atutem nieruchomości jest otaczający ją piękny teren zielony z charakterystycznymi sosnami, który dostępny jest wyłącznie dla mieszkańców. To miejsce stanowi oazę spokoju i ciszy, w której można cieszyć się odprężającą atmosferą i słuchać szumu drzew oraz morskiej bryzy przez cały dzień.INF. DODATKOWE:W ofercie sprzedaży mamy ostatnie wolne apartamenty:Parter, 3 pokoje, 70,53m2, cena 3.244.000złParter, 2 pokoje, 47,04m2, cena 1.975.000złParter, 2 pokoje, 51,05m2, cena 2.297.000złI piętro, 2 pokoje, 47,16m2, cena 2.027.000złI piętro, 2 pokoje, 50,50m2, cena 2.171.000złI piętro, 3 pokoje, 70,45m2, cena 3.099.000złII piętro, 3 pokoje, 70,66m2, cena 3.179.000złII piętro, 3 pokoje, 77,66m2, cena 3.883.000złII piętro, 4 pokoje, 104,28m2, cena 5.005.000złPowyższe ceny są cenami netto + 23% VatOferta ta skierowana jest zarówno dla osób szukających apartamentu jako second-home w prestiżowym miejscu, jak i dla inwestorów chcących czerpać korzyści zarobkowe z wynajmu krótkoterminowego. LOKALIZACJA/ATRAKCJE REGIONUJurata to popularne miejsce turystyczne, które przyciąga zarówno na rodzinne wakacje, jak i romantyczne weekendy. Charakteryzuje się spokojnymi uliczkami, licznymi sklepami, restauracjami i kawiarniami, które oferują tradycyjne polskie smaki i dania kuchni międzynarodowej.Miłośnicy sportów wodnych mają do wyboru windsurfing, kitesurfing, pływanie kajakiem oraz nurkowanie w Morzu Bałtyckim. Z kolei miłośnicy wędrówek i aktywnego wypoczynku mogą wybrać się na wycieczkę pieszą lub rowerową wzdłuż wybrzeża, podziwiając piękne krajobrazy i miejsca związane z historią regionu.W okolicy Juraty warto odwiedzić Półwysep Helski z Mierzeją Helską, która jest jednym z najpiękniejszych półwyspów w Polsce i oferuje liczne atrakcje turystyczne. Jest to także idealne miejsce dla osób ceniących ciszę i spokój, które chcą odpocząć od miejskiego zgiełku i skorzystać z uroków przyrody.——————————————KONTAKT:Monika Baranowska: +48 793 101 411 (licencja zawodowa nr 24529)Pośrednik odpowiedzialny: Joanna Czapska (licencja zawodowa nr 4585)Przedstawiona wyżej oferta nie jest ofertą handlową w rozumieniu przepisów prawa, lecz ma charakter informacyjny. Partners International dokłada starań, aby treści przedstawione w naszych ofertach były aktualne i rzetelne. Dane dotyczące ofert uzyskano na podstawie oświadczeń Sprzedających.——————————————CONTACT:Monika Baranowska: +48 793 101 411 (professional license No. 24529)Broker responsible: Joanna Czapska (professional license No. 4585)Outlined above proposal is not a commercial offer for the purposes of the law but is informative. All data relating to real estate was obtained on the basis statements of the Sellers.——————————————","3","pełna własność","https://otodom.pl/pl/oferta/apartament-50m-od-plazy-w-juracie-1-linia-ID4kWeB","true","4kWeB"
"2023-09-04","Mieszkanie, 100 m², Tczew","759000","market,secondary","100","ul. Żeglarska, Tczew, tczewski, pomorskie","null","null","agency","!!OBNIŻKA- BYŁO 819 TYŚ. JEST 759 TYŚ.!!Apartament dla wymagającego Klienta.Z przyjemnością przedstawiamy Państwu niepowtarzalny, komfortowy apartament, który został stworzony od podstaw z wysublimowanym smakiem nadając mu indywidualny charakter.Powierzchnia tego pięknego wnętrza to około 100 m2, na którą składa się: przestronny salon, nowoczesny aneks kuchenny z ogromną wyspą roboczą i dużym stołem jadalnianym, sypialnia klimatyzowana z częścią wypoczynkową, w której znajdziemy saunę a także salon łazienkowy z wanną i prysznicem, garderoba a także wygodny przedpokój i łazienka gościnna.Całość wykończona materiałami i sprzętami wysokiej klasy, z dużą dbałością o szczegóły. Między innymi: piękne obszerne szafy ubraniowe, funkcjonalna i elegancka zabudowa w kuchni oraz w łazienkach. Drzwi zewnętrze o podwyższonej jakości- antywłamaniowe.Duże okna doskonale doświetlają piękne wnętrze, z których rozciąga się niepowtarzalny widok na Most Lisewski i Wisłę.Do mieszkania przypisany  jest garaż w podpiwniczeniu budynku o pow. 53 m2, w którym znalazło się miejsce na własną siłownię, naziemne miejsce parkingowe  oraz 3 komórki lokatorskie. Kolejnym atutem nieruchomości jest przede wszystkim bliskość terenów zielonych i rekreacyjnych. W sąsiedztwie Park, Tczewski Bulwar na wyciągniecie ręki to miejsca idealne do uprawiania sportów i relaksujących spacerów. Oferta godna polecenia. Zapraszamy na prezentację.Treść niniejszego ogłoszenia nie stanowi oferty handlowej w rozumieniu Kodeksu Cywilnego.","2","pełna własność","https://otodom.pl/pl/oferta/apartament-widok-na-wisle-sauna-silownia-klima-ID4dm65","true","4dm65"
"2023-09-04","Mieszkanie, 40,70 m², Jelenia Góra","339000","market,secondary","40.7","Staniszów, Podgórzyn, karkonoski, dolnośląskie","null","null","agency","Do sprzedaży 2-pokojowe mieszkanie blisko centrum Jeleniej Góry. Lokal o powierzchni ok.41m2 znajduje się na  parterze w kamienicy i składa się z dwóch słonecznych pokoi,  kuchni z nowoczesna zabudową, łazienki razem z WC oraz przedpokoju. Mieszkanie przeszło kapitalny remont wymienione wszystkie instalacje okna PCV, drzwi antywłamaniowe, na ścianach gładzie i płytki, na podłogach panel i gres. Ogrzewanie podłogowe i ciepła woda z pieca gazowego, czynsz administracyjny 280 złotych. Do mieszkania przynależy również komórka lokatorska ok. 7m2. Budynek monitorowany posiada zainstalowane kamery na zewnątrz oraz na klatce schodowej, w podwórzu teren zielony do dyspozycji.Jest to doskonała oferta zarówno do zamieszkania jak pod inwestycję. Idealna lokalizacja blisko obiektów użyteczności publicznej, sklepów, przystanków MZK.Serdecznie polecam i zapraszam na prezentację. Leszek Środecki 790-418-318  ::DODATKOWE INFORMACJE Rodzaj budynku: kamienica wolnostojącaDozór budynku: monitoringPlac zabaw: TAKGaz: tak - miejskiWoda: piec gazowy dwufunkcyjnyDojazd: asfaltOtoczenie: domy jednorodzinneOgrzewanie: podłogoweInternet: TAKNadaje się na biuro: TAKKomunikacja publ.: MZK, PKS, PKPOdległość do komunikacji publicznej [m]: 200Odl. do sklepu [m]: 350Odl. do szkoły [m]: 1800Rozkład: dwustronne rozkładoweUsytuowanie: dwustronneOpłaty w czynszu: zaliczka na fundusz remontowy, wywóz śmieci, sprzątanie, Części wspólne, administracjaOpłaty wg liczników: woda, prąd, gaz, CORodzaj mieszkania: jednopoziomoweStan lokalu: Do wprowadzeniaOkna: PCVInstalacje: wymienioneBalkon: brakPowierzchnia użytkowa [m2]: 40,7000Liczba pokoi: 2Wysokość pomieszczeń [m]: 2,7000Liczba sypialni: 1Podłogi pokoi: paneleŚciany pokoi: gładzie gipsoweTyp kuchni: jasna z oknemRodzaj kuchni: z nowoczesną zabudową kuchennąPodłoga kuchni: kafleTyp łazienki: razem z wcLiczba łazienek: 1Glazura łazienki: nowego typuPodłoga łazienki: kafleWyposażenie łazienki: wannaŚciany łazienki: glazuraLiczba przedpokoi: 1Podłoga przedpokoi: kafleŚciany przedpokoi: gładzie gipsowe::KONTAKT DO AGENTA Leszek Środecki 75 64 54 44 44 wew 41790 418 318::DANE BIURA Marles Leszek Środecki1 Maja 6058-500 Jelenia Góra75 64 54 444Pośrednik odpowiedzialny zawodowo za wykonanie umowy pośrednictwa: Leszek Środecki  (licencja nr: 13045) ","2","pełna własność","https://otodom.pl/pl/oferta/mieszkanie-40-70-m-jelenia-gora-ID4lSVf","true","4lSVf"
"2023-09-04","Mieszkanie, 39,10 m², Ruda Śląska","264600","market,secondary","39.1","Kochłowice, Ruda Śląska, śląskie","null","null","agency","REZERWACJA!APARTAMENT NA SPRZEDAŻRUDA ŚLĄSKA - KOCHŁOWICE - ULICA JACKA39,1m2- 264 600 złcena z poddaszem i miejscem parkingowym! BEZPŁATNIE POMAGAMY W UZYSKANIU KREDYTU NA ZAKUP MIESZKANIAPrzedstawiam Państwu na sprzedaż bezczynszowy apartament z poddaszem o powierzchni użytkowej 39,10m2, zlokalizowany na piętrze w budynku mieszkalnym po kapitalnym remoncie w Rudzie Śląskiej- Kochłowicach przy ul. Jacka. Nieruchomość usytuowana jest na kameralnym osiedlu w sąsiedztwie nowo wybudowanych budynków.Budynek zostanie oddany do użytku w III kwartale 2023 roku.Apartament składa się z:- przestronnego salonu z aneksem kuchennym,- ustawnej łazienki z WC,- holu,Dodatkowo apartament posiada duże, klimatyczne poddasze, które tworzy nietuzinkową przestrzeń.Mieszkania oddane zostaną w stanie deweloperskim:- okna PCV,- drzwi wejściowe,- instalacje elektryczna, wod-kan, CO,- instalacje TV, Internet, telefon,- na podłogach płyty,- na ścianach tynki, gniazdka,- ogrzewanie gazowe za pomocą kaloryferów,- dwufunkcyjny piec gazowy w łazience.Apartament świetnie oświetlony dzięki dużym oknom.Możliwość aranżacji mieszkania według własnych potrzeb.Dodatkowo do mieszkania przynależy miejsce parkingowe w cenie!Lokalizacja Nieruchomość znajduje się w spokojnej okolicy w otoczeniu terenów zielonych i sąsiedztwie zabudowy jednorodzinnej wraz z dostępem do pełnej infrastruktury miejskiej.Łatwy dojazd do pozostałych miast Aglomeracji Górnośląskiej- Katowice, Zabrze, Gliwice, Bytom, Chorzów, Świętochłowice- dzięki bliskiej odległości autostrady A4.CENA: 264.600,00złAgent prowadzący - Julia Nawrat 798 933 833 Informacje zawarte w niniejszej witrynie nie są prawnie wiążące i nie stanowią oferty handlowej, w tym w rozumieniu art. 66 &sect; 1 Kodeksu cywilnego. Prezentowane wizualizacje i rzuty służą wyłącznie do celów prezentacyjnych i nie stanowią oferty w rozumieniu kodeksu cywilnego. Podczas realizacji niektóre elementy mogą ulec zmianie.Pośrednik odpowiedzialny zawodowo za wykonanie umowy pośrednictwa: Elżbieta Minkina-Kwaśny (licencja nr: 1406) ","1","pełna własność","https://otodom.pl/pl/oferta/mieszkanie-39-10-m-ruda-slaska-ID4jofo","true","4jofo"
"2023-09-04","Dwupokojowe mieszkanie przy ulicy Starowiejskiej","219000","market,secondary","35.3","Starowiejska, Elbląg, warmińsko-mazurskie","null","null","agency","Myślisz o dwupokojowym mieszkaniu na dobry początek dla siebie i może dla drugiej połowy? A może po prostu myślisz o inwestycji?Ta oferta jest właśnie dla Ciebie!Oferuję na sprzedaż ustawne mieszkanie przy ulicy Starowiejskiej.Mieszkanie położone na trzecim piętrze w bloku czteropiętrowym.Nieruchomość o powierzchni 35,30 m2 składa się z:- dwóch pokoi- kuchni- łazienki z WC- przedpokojuDzięki słonecznej ekspozycji lokal jest bardzo widny przez większość dnia.Mieszkanie środkowe, ciche i słoneczne.Wymaga remontu, drobnego bądź poważnego, w zależności od potrzeb Kupującego.Wszystkie media z sieci miejskiej. Do mieszkania przynależy pomieszczenie piwniczne. Na terenie osiedla znajduje się dużo miejsc parkingowych ogólnie dostępnych.Atutem jest niski czynsz, który wynosi który wynosi około 500 zł, dzięki czemu nieruchomość ta idealnie sprawdzi się jako inwestycja pod wynajem.Centrum miasta a zarazem oddalenie od zgiełku to największe atuty tej nieruchomości.Świetna lokalizacja- w pobliżu znajduje się szkoła, przedszkole, żłobek, przychodnia, apteka, Biedronka oraz pasaż handlowo-usługowy.Ponadto, dużym udogodnieniem dla rodzin z dziećmi będzie bliskość placów zabaw.W okolicy znajdują się liczne połączenia tramwajowe i autobusowe.Nieruchomość ta będzie idealna dla osób ceniących sobie spokój i funkcjonalność.Chcesz przekonać się, że to mieszkanie spełni Twoje wymagania - zadzwoń i umów się na prezentację.Przy zakupie nieruchomości należy uwzględnić koszty notarialne oraz wynagrodzenie dla biura nieruchomości w wysokości 1,5% netto.Chcesz spełnić swoje marzenie o zakupie nieruchomości, ale potrzebujesz wsparcia i pomocy?Gwarantujemy rzetelne doradztwo kredytowe. Z nami uzyskasz korzystny kredyt. Wyjaśnimy wszystkie wątpliwości oraz pomożemy przy załatwianiu niezbędnych formalności. Pomoc jest całkowicie bezpłatna, a dzięki niej możesz zaoszczędzić sporo czasu i pieniędzy. Zapraszam również do naszego biura:Galeria Nieruchomości ul. 3 Maja 5 A82-300 ElblągDANE KONTAKTOWE:Sylwia Lange791 799 992Treść niniejszego ogłoszenia nie stanowi oferty handlowej w rozumieniu Kodeksu Cywilnego.","2","pełna własność","https://otodom.pl/pl/oferta/dwupokojowe-mieszkanie-przy-ulicy-starowiejskiej-ID4lq8r","true","4lq8r"
"2023-09-04","Mieszkanie 3 pokojowe na Osiedlu Młodych.","355000","market,secondary","43.76","Świdnica, świdnicki, dolnośląskie","null","null","agency","Mieszkanie 3 pokojowe z balkonem na Osiedlu Młodych!Oferujemy Państwu nieruchomośc o powierzchni 43,76m kw znajduje się na 3 piętrze w zadbanym bloku 4 pietrowym.Wnętrza nieruchomości zaprojektowano w ciepłych kolorach ziemi z motywami natury.Mieszkanie składa się z następujących pomieszczeń: - przedpokój - łazienka - kuchnia - pokój - pokój - salon z jadalniąNieruchomość została wyremontowana, jest gotowa do wprowadzenia, nie trzeba wkładu własnego na remont czy odświeżanie.Rozmieszczenie pomieszczeń zaprojektowano zgodnie trendami otwartych przestrzeni - kuchnia otwarta na salon połączony z jadalnią.Pomieszczenia są słoneczne, pokoje utrzymane w jasnych tonacjach.Na podłodze w salonie położono parkiet w pokojach i przedpokoju położono panele w łazience i w kuchni płytki. W mieszkaniu zamontowano okna PCV.Z salonu połączonego z jadalnią, prowadzi wyjście na balkon który można zaaranżować na mały ogród z miejscem do odpoczynku.Na wyposażeniu w cenie mieszkania, pozostają meble w kuchni ze sprzętem AGD: płyta indukcyjna Beko, lodówka Electrolux, zmywarka Ariston, piekarnik elektryczny Mastercook. W łazience, armatura sanitarna wraz z szafką łazienkową i kabiną prysznicową. W przedpokoju, szafy wnękowe. W salonie, kanapa. Reszta mebli do uzgodnienia z właścicielami.Mieszkanie będzie idealne dla par, singli, rodzin.Jego uniwersalność bierze się z umiejętnego rozplanowania układu pomieszczeń. W przestrzennym salonie mamy miejsce do wspólnych posiłków i spotkań z przyjaciółmi, a wnękę z oknem na całej szerokości można zaaranżować na kącik zabaw dla dziecka lub kącik relaksu do czytania książek czy słuchania muzyki, dodatkowo mamy dwa pokoje do dowolnej aranżacji, przykładowo dwóch sypialni czy sypialni z gabinetem/pokojem gościnnym lub garderobą.Instalacje: - elektryczna - grzewcza - wodna - kanalizacyjnaMiesięczny czynsz wynosi około 622zł w tym woda ciepła i zimna, śmieci, ogrzewanie.POLECAMY I ZAPRASZAMY NA DARMOWĄ PREZENTACJĘ!! TAKA OFERTA MOŻE SIĘ JUŻ NIE POWTÓRZYĆ!!Skontaktuj się ze mną, aby umówić się na prezentację lub uzyskać odpowiedzi na swoje pytania.Klienci naszego biura objęci są programami lojalnościowymi firm: Bell-Pol oraz Leroy Merlin, dzięki którym to mogą uzyskać 10% rabatu na zakup produktów, materiałów do swoich nowo nabytych u Nas lokali. WGN zapewnia rynkowe ceny, bezpieczeństwo korzystnej transakcji oraz pomoc notariusza. Wyróżniamy się pełnym zaangażowaniem, ekspercką wiedzą i najwyższym poziomem usług opartych na ponad 30-letnim doświadczeniu. Stosujemy System Jakości ZJ WGN oraz Kodeks Etyki Zawodowej Polskiej Federacji Rynku Nieruchomości. Informacje dotyczące nieruchomości zostały sporządzone na podstawie oświadczeń i nie są ofertą w rozumieniu przepisów prawa mają charakter wyłącznie informacyjny i mogą podlegać aktualizacji, zalecamy ich osobistą weryfikację. Wszelkie prawa zastrzeżone. Teksty, rysunki, zdjęcia oraz inne informacje opublikowane na niniejszych stronach podlegają prawom autorskim WGN-NIERUCHOMOŚCI ŚWIDNICA Wszelkie kopiowanie, dystrybucja, elektroniczne przetwarzanie oraz przesyłanie zawartości bez zezwolenia są zabronione.","3","spółdzielcze wł. prawo do lokalu","https://otodom.pl/pl/oferta/mieszkanie-3-pokojowe-na-osiedlu-mlodych-ID4mlH1","true","4mlH1"
"2023-09-04","Dom Dąbrowa działka 400m2","550000","market,primary","135.5","ul. Boczna 65, Szałasowizna, Strzemieszyce Wielkie, Dąbrowa Górnicza, śląskie","true","null","private","--BEZPOŚREDNIO-- OSTATNI WOLNY DOM -- 5 pokoi, 2 łazienki. Kupujący zwolniony z 2% podatku PCC
Dom jednorodzinny w zabudowie bliźniaczej 135,5m2 na działce 400m2. Ciche, spokojne miejsce. Strzemieszyce Wielkie, blisko granicy z Sosnowcem. W pobliżu szkoła podstawowa z boiskami sportowymi, stadion, przedszkole, plac zabaw, sklepy, przystanek autobusowy, markety Biedronka, Carrefour, Dino.

Nowoczesna architektura, wysoka jakość materiałów uznanych producentów. Cena za stan surowy zamknięty z elewacją.

Parter: wiatrołap z dużą wnęką na szafę, pomieszczenie gospodarcze, garaż, duża łazienka z prysznicem, przedpokój z miejscem na zabudowę dla dużej szafy lub spiżarni, kuchnia, salon z kominkiem, jadalnia
Piętro użytkowe: 4 sypialnie, łazienka, hol, wysoki i duży strych

Standard wykonania:
- fundament: ławy fundamentowe betonu B25 W8,
- ściany fundamentowe: betonowe pustaki szalunkowe zbrojone zalane betonem B25 W8,
- izolacja przeciwwilgociowa, izolacja cieplna styropian fundamentowy gr.10cm
- ściany: wysokiej jakości pustak ceramiczny szlifowany 25 P+W dryfix Wienerberger
- strop: żelbetowy monolityczny
- dach: dachówka ceramiczna płaska w kolorze antracyt (30 lat gwarancji)
- ogrzewanie: gazowe oraz kominek
- okna PCV: 3 szybowe, ramy 7 komorowe, w kolorze złoty dąb
- drzwi zewnętrzne: w kolorze złoty dąb
- brama garażowa: Hormann z 2 pilotami, w kolorze złoty dąb
- ocieplenie: 20cm styropian
- elewacja: tynk silikonowy biały + panele drewnopodobne w kolorze złoty dąb
- podbitka: drewniana w kolorze złoty dąb
- media: woda, kanalizacja miejska, prąd - wprowadzone do budynku
- gaz : w trakcie projektowania
- instalacja dla światłowodu w granicy działki

Kupujący zwolniony z 2% podatku PCC.

W sprzedaży też szeregówki 130,80m2 na działkach 470m2 i 322m2

Więcej informacji, tylko po g.16,00. Ogłoszenie nie stanowi oferty w rozumieniu przepisów Kodeksu Cywilnego.","5","null","https://otodom.pl/pl/oferta/dom-dabrowa-dz-400m2-ID4f7as","true","4f7as"
"2023-09-04","NAJWYŻSZY STANDARD! Winda! Garaż! Rolety! Klima!","607950","market,primary","67.55","ul. Babiogórska, Osiedle Beskidzkie, Bielsko-Biała, śląskie","null","null","agency","Nasza nowa inwestycja realizowana jest w Bielsku-Białej przy ulicy Babiogórskiej i obok świetnej lokalizacji nieopodal jednych z bardziej uczęszczanych terenów rekreacyjnych w Bielsku-Białej wyróżnia się bardzo wysokim standardem, który z całą pewnością zaspokoi oczekiwania nawet najbardziej wymagających:

ekonomiczne ogrzewanie miejskie,
wygodna dla mieszkańców winda osobowa,
najwyższej jakości stolarka okienna,
do wyjścia na przestronne tarasy prowadzą okna uchylno / przesuwne,
elektryczne rolety zewnętrzne zapewniają dodatkowy komfort oraz oczekiwaną prywatność,
najwyższej jakości drzwi wejściowe do budynków jak również apartamentów,
ogrzewanie podłogowe zapewniający komfort mieszkania w okresie zimowym,
wylewki anhydrytowe charakteryzuje się doskonałym przewodnictwem cieplnym co w połączeniu z oferowanym ogrzewaniem podłogowym pozwala na znacznie szybsze nagrzewanie pomieszczeń i lepszy komfort użytkowania systemów z ogrzewaniem podłogowym, 
instalacja pod przyszły montaż klimatyzacji zapewniająca komfort w okresie letnim,
wygodne miejsca postojowe w garażu podziemnym,
komórki lokatorskie na każdej kondygnacji,
monitoring osiedla...

Do apartamentu można dodatkowo nabyć:

komórkę lokatorską w cenie 10.000,- PLN
zewnętrzne miejsce postojowe w cenie 25.000,- PLN
miejsce postojowe w garażu podziemnym w cenie 45.000,- PLN

W przypadku pytań jesteśmy do Państwa dyspozycji pod numerem 602 123 456","3","pełna własność","https://otodom.pl/pl/oferta/01-winda-rolety-zewn-podlogowka-klimatyzacja-ID4mkoH","true","4mkoH"
